"","kratica","datum","tip","tecaj"
"106","ZAR",1998-03-01,"nakupni",4.946143155
"107","PHP",1998-03-01,"nakupni",39.651810585
"108","SEK",1998-03-01,"nakupni",7.9971910112
"109","IDR",1998-03-01,"nakupni",8575.3012048193
"110","SAR",1998-03-01,"nakupni",3.7509881423
"111","BRL",1998-03-01,"nakupni",1.1300309598
"112","KRW",1998-03-01,"nakupni",1630.5841924399
"113","EGP",1998-03-01,"nakupni",3.3973747017
"114","NOK",1998-03-01,"nakupni",7.5718085106
"115","DKK",1998-03-01,"nakupni",6.9135502671
"116","PKR",1998-03-01,"nakupni",44.0030911901
"117","ILS",1998-03-01,"nakupni",3.5793311541
"118","XAU",1998-03-01,"nakupni",0.003362466
"119","CLP",1998-03-01,"nakupni",449.195329757
"120","TWD",1998-03-01,"nakupni",31.9027341999
"121","CZK",1998-03-01,"nakupni",33.9737470167
"122","JOD",1998-03-01,"nakupni",0.7089849587
"123","FJD",1998-03-01,"nakupni",1.9267731456
"124","DZD",1998-03-01,"nakupni",58.8223140496
"125","ISK",1998-03-01,"nakupni",72.0759493671
"126","XAG",1998-03-01,"nakupni",0.1587310437
"127","JMD",1998-03-01,"nakupni",35.7035364936
"128","LBP",1998-03-01,"nakupni",1529.0010741139
"129","TTD",1998-03-01,"nakupni",6.199912892
"130","XCD",1998-03-01,"nakupni",2.7001138088
"131","BBD",1998-03-01,"nakupni",2.011161345
"132","BMD",1998-03-01,"nakupni",1
"133","XPT",1998-03-01,"nakupni",0.0026069041
"134","BSD",1998-03-01,"nakupni",1
"135","XDR",1998-03-01,"nakupni",0.7406347555
"136","USD",1998-04-01,"nakupni",1
"137","EUR",1998-04-01,"nakupni",0.9314537329
"138","GBP",1998-04-01,"nakupni",0.5978403003
"139","INR",1998-04-01,"nakupni",39.4461452825
"140","AUD",1998-04-01,"nakupni",1.5163153953
"141","CAD",1998-04-01,"nakupni",1.4173
"142","SGD",1998-04-01,"nakupni",1.6214391946
"143","CHF",1998-04-01,"nakupni",1.5333766093
"144","MYR",1998-04-01,"nakupni",3.694734098
"145","JPY",1998-04-01,"nakupni",133.5815268615
"146","CNY",1998-04-01,"nakupni",8.2786214953
"147","NZD",1998-04-01,"nakupni",1.8191503016
"148","THB",1998-04-01,"nakupni",39.3694444444
"149","HUF",1998-04-01,"nakupni",213.7707390649
"150","HKD",1998-04-01,"nakupni",7.749043193
"151","ZAR",1998-04-01,"nakupni",5.043772242
"152","PHP",1998-04-01,"nakupni",38.0994623656
"153","SEK",1998-04-01,"nakupni",8.0345804989
"154","IDR",1998-04-01,"nakupni",8537.9518072289
"155","SAR",1998-04-01,"nakupni",3.7504630855
"156","BRL",1998-04-01,"nakupni",1.1370236663
"157","KRW",1998-04-01,"nakupni",1389.5098039216
"158","EGP",1998-04-01,"nakupni",3.4176513142
"159","NOK",1998-04-01,"nakupni",7.6610810811
"160","DKK",1998-04-01,"nakupni",7.0653040877
"161","PKR",1998-04-01,"nakupni",44.2215288612
"162","ILS",1998-04-01,"nakupni",3.5990350432
"163","XAU",1998-04-01,"nakupni",0.0033222381
"164","CLP",1998-04-01,"nakupni",453.3909149072
"165","TWD",1998-04-01,"nakupni",32.8002777135
"166","CZK",1998-04-01,"nakupni",34.2342995169
"167","JOD",1998-04-01,"nakupni",0.7090045023
"168","FJD",1998-04-01,"nakupni",1.9304004358
"169","DZD",1998-04-01,"nakupni",57.8489795918
"170","ISK",1998-04-01,"nakupni",72.9063786008
"171","XAG",1998-04-01,"nakupni",0.1582337836
"172","JMD",1998-04-01,"nakupni",35.9538305429
"173","LBP",1998-04-01,"nakupni",1527.2629310345
"174","TTD",1998-04-01,"nakupni",6.2053415061
"175","XCD",1998-04-01,"nakupni",2.7001333587
"176","BBD",1998-04-01,"nakupni",2.0112104442
"177","BMD",1998-04-01,"nakupni",1
"178","XPT",1998-04-01,"nakupni",0.0024420207
"179","BSD",1998-04-01,"nakupni",1
"180","XDR",1998-04-01,"nakupni",0.7493391139
"181","USD",1998-05-01,"nakupni",1
"182","EUR",1998-05-01,"nakupni",0.8999937221
"183","GBP",1998-05-01,"nakupni",0.5995316159
"184","INR",1998-05-01,"nakupni",39.6789371713
"185","AUD",1998-05-01,"nakupni",1.5321149941
"186","CAD",1998-05-01,"nakupni",1.4336
"187","SGD",1998-05-01,"nakupni",1.5825146263
"188","CHF",1998-05-01,"nakupni",1.4879086663
"189","MYR",1998-05-01,"nakupni",3.6674341264
"190","JPY",1998-05-01,"nakupni",132.987012987
"191","CNY",1998-05-01,"nakupni",8.2771362587
"192","NZD",1998-05-01,"nakupni",1.7985196337
"193","THB",1998-05-01,"nakupni",38.4034288776
"194","HUF",1998-05-01,"nakupni",209.5906432749
"195","HKD",1998-05-01,"nakupni",7.7491891892
"196","ZAR",1998-05-01,"nakupni",5.0478873239
"197","PHP",1998-05-01,"nakupni",40.1456174741
"198","SEK",1998-05-01,"nakupni",7.670411985
"199","IDR",1998-05-01,"nakupni",7964.4444444444
"200","SAR",1998-05-01,"nakupni",3.7499346063
"201","BRL",1998-05-01,"nakupni",1.143495254
"202","KRW",1998-05-01,"nakupni",1334.8230912477
"203","EGP",1998-05-01,"nakupni",3.4028008545
"204","NOK",1998-05-01,"nakupni",7.3782810087
"205","DKK",1998-05-01,"nakupni",6.7814569536
"206","PKR",1998-05-01,"nakupni",44.0565457898
"207","ILS",1998-05-01,"nakupni",3.6938933265
"208","XAU",1998-05-01,"nakupni",0.003258404
"209","CLP",1998-05-01,"nakupni",452.6681401958
"210","TWD",1998-05-01,"nakupni",32.9487474144
