"","kratica","datum","tip","tecaj"
"1","USD",2016-01-01,"nakupni",1
"2","EUR",2016-01-01,"nakupni",0.920945
"3","GBP",2016-01-01,"nakupni",0.6782635048
"4","INR",2016-01-01,"nakupni",66.235
"5","AUD",2016-01-01,"nakupni",1.3693940431
"6","CAD",2016-01-01,"nakupni",1.3854
"7","SGD",2016-01-01,"nakupni",1.4141704394
"8","CHF",2016-01-01,"nakupni",1.0015
"9","MYR",2016-01-01,"nakupni",4.3029259897
"10","JPY",2016-01-01,"nakupni",120.625
"11","CNY",2016-01-01,"nakupni",6.51245
"12","NZD",2016-01-01,"nakupni",1.4606003067
"13","THB",2016-01-01,"nakupni",36
"14","HUF",2016-01-01,"nakupni",289.88
"15","AED",2016-01-01,"nakupni",3.6729461803
"16","HKD",2016-01-01,"nakupni",7.7505774306
"17","MXN",2016-01-01,"nakupni",17.20435
"18","ZAR",2016-01-01,"nakupni",15.5142503357
"19","PHP",2016-01-01,"nakupni",47.0543948805
"20","SEK",2016-01-01,"nakupni",8.459945
"21","IDR",2016-01-01,"nakupni",13830
"22","SAR",2016-01-01,"nakupni",3.754
"23","BRL",2016-01-01,"nakupni",3.95915
"24","TRY",2016-01-01,"nakupni",2.9160497971
"25","KES",2016-01-01,"nakupni",102.2494887526
"26","KRW",2016-01-01,"nakupni",1175.95
"27","EGP",2016-01-01,"nakupni",7.8300871097
"28","IQD",2016-01-01,"nakupni",1106.3660301374
"29","NOK",2016-01-01,"nakupni",8.84459
"30","KWD",2016-01-01,"nakupni",0.3033989788
"31","RUB",2016-01-01,"nakupni",73
"32","DKK",2016-01-01,"nakupni",6.87266
"33","PKR",2016-01-01,"nakupni",104.7339757017
"34","ILS",2016-01-01,"nakupni",3.888865
"35","PLN",2016-01-01,"nakupni",3.9515
"36","QAR",2016-01-01,"nakupni",3.6404409302
"37","XAU",2016-01-01,"nakupni",0.0009422584
"38","OMR",2016-01-01,"nakupni",0.3850496762
"39","COP",2016-01-01,"nakupni",3179.6502384738
"40","CLP",2016-01-01,"nakupni",708.7172218285
"41","TWD",2016-01-01,"nakupni",33.052
"42","ARS",2016-01-01,"nakupni",12.9259996414
"43","CZK",2016-01-01,"nakupni",24.89195
"44","VND",2016-01-01,"nakupni",22727.272727273
"45","MAD",2016-01-01,"nakupni",9.9195032313
"46","JOD",2016-01-01,"nakupni",0.7090498873
"47","BHD",2016-01-01,"nakupni",0.3770394298
"48","XOF",2016-01-01,"nakupni",604.100319365
"49","LKR",2016-01-01,"nakupni",144.6236170367
"50","UAH",2016-01-01,"nakupni",24.0277761092
"51","NGN",2016-01-01,"nakupni",199.0445859873
"52","TND",2016-01-01,"nakupni",2.0407371959
"53","UGX",2016-01-01,"nakupni",3372.6812816189
"54","RON",2016-01-01,"nakupni",4.1672483451
"55","BDT",2016-01-01,"nakupni",78.6813013887
"56","PEN",2016-01-01,"nakupni",3.4144826099
"57","GEL",2016-01-01,"nakupni",2.3999059237
"58","XAF",2016-01-01,"nakupni",604.100319365
"59","FJD",2016-01-01,"nakupni",2.1271979273
"60","VEF",2016-01-01,"nakupni",6.349609499
"61","HRK",2016-01-01,"nakupni",7.0360845597
"62","UZS",2016-01-01,"nakupni",2808.9887640449
"63","BGN",2016-01-01,"nakupni",1.79947
"64","DZD",2016-01-01,"nakupni",107.0721130682
"65","IRR",2016-01-01,"nakupni",30303.03030303
"66","DOP",2016-01-01,"nakupni",45.530084003
"67","ISK",2016-01-01,"nakupni",130.0221037576
"68","XAG",2016-01-01,"nakupni",0.0720634192
"69","CRC",2016-01-01,"nakupni",537.2011818426
"70","SYP",2016-01-01,"nakupni",188.8160478535
"71","LYD",2016-01-01,"nakupni",1.365
"72","JMD",2016-01-01,"nakupni",119.976004799
"73","MUR",2016-01-01,"nakupni",35.8493609851
"74","GHS",2016-01-01,"nakupni",3.8099737493
"75","AOA",2016-01-01,"nakupni",135.2265043949
"76","UYU",2016-01-01,"nakupni",29.9150412828
"77","AFN",2016-01-01,"nakupni",68.3690561652
"78","LBP",2016-01-01,"nakupni",1508.2956259427
"79","XPF",2016-01-01,"nakupni",109.8979713604
"80","TTD",2016-01-01,"nakupni",6.4224013359
"81","TZS",2016-01-01,"nakupni",2164.5021645022
"82","ALL",2016-01-01,"nakupni",126.1511290526
"83","XCD",2016-01-01,"nakupni",2.7000027
"84","GTQ",2016-01-01,"nakupni",7.6335003798
"85","NPR",2016-01-01,"nakupni",103.0999984741
"86","BOB",2016-01-01,"nakupni",6.8996446683
"87","ZWD",2016-01-01,"nakupni",361.9
"88","BBD",2016-01-01,"nakupni",2
"89","CUC",2016-01-01,"nakupni",1
"90","LAK",2016-01-01,"nakupni",8163.2653061224
"91","BND",2016-01-01,"nakupni",1.4141704394
"92","BWP",2016-01-01,"nakupni",11.300520389
"93","HNL",2016-01-01,"nakupni",22.3548610645
"94","PYG",2016-01-01,"nakupni",5780.3468208092
"95","ETB",2016-01-01,"nakupni",21.1824016607
"96","NAD",2016-01-01,"nakupni",15.5142503357
"97","PGK",2016-01-01,"nakupni",3.0075233196
"98","SDG",2016-01-01,"nakupni",6.2212074742
"99","MOP",2016-01-01,"nakupni",7.9830947535
"100","NIO",2016-01-01,"nakupni",27.9282801765
"101","BMD",2016-01-01,"nakupni",1
"102","KZT",2016-01-01,"nakupni",341.5883859949
"103","PAB",2016-01-01,"nakupni",1
"104","BAM",2016-01-01,"nakupni",1.8012118594
"105","GYD",2016-01-01,"nakupni",207.1894747747
"106","YER",2016-01-01,"nakupni",215.123158008
"107","MGA",2016-01-01,"nakupni",3225.8064516129
"108","KYD",2016-01-01,"nakupni",0.8200001312
"109","MZN",2016-01-01,"nakupni",47.8697941599
"110","RSD",2016-01-01,"nakupni",111.8193000112
"111","SCR",2016-01-01,"nakupni",13.0520544468
"112","AMD",2016-01-01,"nakupni",483.7929366231
"113","SBD",2016-01-01,"nakupni",8.1366965012
"114","AZN",2016-01-01,"nakupni",1.5620460304
"115","SLL",2016-01-01,"nakupni",4149.377593361
"116","TOP",2016-01-01,"nakupni",2.1987686895
"117","BZD",2016-01-01,"nakupni",1.9948871839
"118","MWK",2016-01-01,"nakupni",615.5
"119","GMD",2016-01-01,"nakupni",39.3406506944
"120","BIF",2016-01-01,"nakupni",1556.420233463
